"wikidata_code","birth","death","updated_death_date","approx_birth","approx_death","birth_min","birth_max","death_min","death_max","gender","level1_main_occ","name","un_subregion","birth_estimation","death_estimation","bigperiod_birth_graph_b","bigperiod_death_graph_b","curid","level2_main_occ","freq_main_occ","freq_second_occ","level2_second_occ","level3_main_occ","bigperiod_birth","bigperiod_death","wiki_readers_2015_2018","non_missing_score","total_count_words_b","number_wiki_editions","total_noccur_links_b","sum_visib_ln_5criteria","ranking_visib_5criteria","all_geography_groups","string_citizenship_raw_d","citizenship_1_b","citizenship_2_b","list_areas_of_rattach","area1_of_rattachment","area2_of_rattachment","list_wikipedia_editions","un_region","group_wikipedia_editions","bplo1","dplo1","bpla1","dpla1","pantheon_1","level3_all_occ","mid_point"
"Q1059127",NA,NA,NA,"century","century",-300,-201,-300,-101,"Male","Discovery/Science","Chaireas","Southern Europe",-250,-181.85751,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",5880832,"Academia",0.66666669,0.33333334,"Worker/Business (small)","historian","Missing","Missing",809,3,1067,1,0,14.367421,2719516.5,"","","Greece","","P:_'Greece'_can't_verifyB1","Greece","Missing","dewiki","Europe","grB",NA,NA,NA,NA,0,"D:_historian_P:_schreiber_German",-215.928755
"Q1060386",NA,NA,NA,"century","century",101,300,201,400,"Male","Discovery/Science","Chama_bar_Bisa","",201,256.65015,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",4871341,"Academia",0.5,0.5,"Religious","lehrer","Missing","Missing",227,3,1005,1,0,13.049302,2929893,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_ lehrer_christlichen_German",228.825075
"Q1060391",NA,NA,NA,"century","century",101,300,201,300,"Male","Discovery/Science","Chama_bar_Chanina","",201,256.65015,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",4898650,"Academia",0.5,0.5,"Religious","academic","Missing","Missing",333,3,1005,1,0,13.426968,2886138,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_gelehrte_christlichen_German",228.825075
"Q1061616",NA,NA,NA,"century","century",1,200,101,200,"Male","Discovery/Science","Chananja_(Tannait)","",101,171.85175,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",4790170,"Academia",1,NA,"Missing","academic","Missing","Missing",336,3,1062,2,0,13.896408,2388066.5,"","","","","","Missing","Missing","dewiki|enwiki","","grB",35,44.4316444396973,31,32.5417823791504,0,"D:_P:_gelehrte_German",136.425875
"Q106837",1150,1220,NA,"circa","circa",1150,1150,1220,1220,"Male","Discovery/Science","Saxo_Grammaticus","Northern Europe",1150,1220,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",73009,"Academia",0.47368422,0.31578946,"Culture-core","historian","2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",422279,3,22799,48,31,30.345503,11259,"Denmark","'Denmark'","Denmark","","D:_'Denmark'_matchB1_P:_'Denmark'","Denmark","Missing","enwiki|dewiki|frwiki|eswiki|ruwiki|itwiki|jawiki|nlwiki|plwiki|svwiki|hewiki|huwiki|fiwiki|arwiki|viwiki|nowiki|ukwiki|kowiki|cawiki|cswiki|idwiki|dawiki|bgwiki|afwiki|astwiki|bewiki|be_x_oldwiki|brwiki|eowiki|etwiki|euwiki|glwiki|hrwiki|hywiki|iswiki|kawiki|kkwiki|lawiki|ltwiki|lvwiki|ndswiki|scowiki|skwiki|nnwiki|fawiki|zhwiki|ptwiki|elwiki","Europe","grA",11.8900003433228,NA,55.5699996948242,NA,1,"D:_historian_writer_P:_historian_theologian_author_English_moine_historien_auteur_French_storico_Italian_schreiber_German_historiador_Spanish_historiador_escrivão_arcebispo_Portuguese_historiker_författare_författare_Swedish",1185
"Q1068588",1075,1138,NA,"","",1075,1075,1138,1138,"Male","Discovery/Science","Chayülwa_Shönnu_Ö","",1075,1138,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",6040711,"Academia",0.5,0.5,"Religious","lehrer","2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",256,3,1282,1,0,13.410785,2856106,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_ lehrer_kloster_German",1106.5
"Q1069917",1038,1103,NA,"","",1038,1038,1103,1103,"Male","Discovery/Science","Chengawa_Tshülthrim_Bar","",1038,1103,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",5991480,"Academia",1,NA,"Missing","lehrer","2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",951,3,1238,2,0,15.082383,2130135,"","","","","","Missing","Missing","dewiki|zhwiki","","grB",NA,NA,NA,NA,0,"D:_P:_ lehrer_German",1070.5
"Q1072266",NA,NA,NA,"century","century",1,200,101,200,"Male","Discovery/Science","Chidka","",101,171.85175,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",4785452,"Academia",1,NA,"Missing","academic","Missing","Missing",582,3,940,1,0,13.91341,2801149,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_gelehrte_German",136.425875
"Q1072903",NA,NA,NA,"century","century",101,300,201,400,"Male","Discovery/Science","Chilfa","",201,256.65015,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",4891431,"Academia",0.5,0.5,"Religious","academic","Missing","Missing",308,3,1068,1,0,13.410629,2889930.5,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_gelehrte_christlichen_German",228.825075
"Q1073837",-200,-118,NA,"circa","",-200,-200,-118,-118,"Male","Discovery/Science","Critolaus","Southern Europe",-200,-118,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",2916220,"Academia",0.58333331,0.16666667,"Religious","philosopher","1.Ancient History Before 500AD","1.Ancient History Before 500AD",20675,3,8906,16,7,23.944122,167952,"","","Greece","","P:_'Greece'_can't_verifyB1","Old_(before_year_1830_AD)_Greece","Missing","skwiki|plwiki|hewiki|frwiki|ruwiki|shwiki|enwiki|cawiki|fiwiki|huwiki|itwiki|nlwiki|zhwiki|eswiki|nowiki|ukwiki","Europe","grA",30.5522212982178,23.7280559539795,36.523609161377,37.9841651916504,0,"D:_philosopher_P:_philosopher_conservative_English_philosophe_jésus_French_filosofo_autore_storico_Italian_filósof_ceo_discípul_Spanish",-159
